지역,대학,계열,전형유형,전형명,모집단위명,2018,2019,2020,2021,2022,경쟁률 추이
강원,가톨릭관동대,인문,2.학생부교과,지역인재전형,영어교육과,1.33,3,2.4,2,,
강원,가톨릭관동대,인문,2.학생부교과,지역인재전형,의료경영학과,1,2.5,3,2.73,,
강원,가톨릭관동대,인문,2.학생부교과,지역인재전형,조리외식경영학과,1,4.11,2.8,3.8,,
강원,가톨릭관동대,인문,2.학생부교과,지역인재전형,지리교육과,3,2,2.8,2.4,,
강원,가톨릭관동대,인문,2.학생부교과,지역인재전형,콘텐츠제작학과,2,3.2,2.43,3,,
강원,가톨릭관동대,인문,2.학생부교과,지역인재전형,항공교통물류학과,1.33,4.4,2.33,1.33,,
강원,가톨릭관동대,인문,2.학생부교과,지역인재전형,항공운항학과,,,,1.33,,
강원,가톨릭관동대,인문,2.학생부교과,지역인재전형,행정학과,1,8.5,2.25,2.75,,
강원,가톨릭관동대,인문,2.학생부교과,지역인재전형,호텔경영학과,1.33,4.17,4.5,2.9,,
강원,가톨릭관동대,자연,1.학생부종합,CKU종합전형,간호학과,5.78,18.88,8.13,13.38,10.25,
강원,가톨릭관동대,자연,1.학생부종합,CKU종합전형,"건축학부(건축공학전공, 건축학전공(5년제))",1.25,4.57,6.4,2.5,,
강원,가톨릭관동대,자연,1.학생부종합,CKU종합전형,무인항공학과,,4.33,2.92,2.6,,
강원,가톨릭관동대,자연,1.학생부종합,CKU종합전형,소프트웨어학과,2,4.5,6.5,3.5,,
강원,가톨릭관동대,자연,1.학생부종합,CKU종합전형,수학교육과,1.75,3.6,4.75,3,1.25,
강원,가톨릭관동대,자연,1.학생부종합,CKU종합전형,안경광학과,,1.75,3,3,,
강원,가톨릭관동대,자연,1.학생부종합,CKU종합전형,의료IT학과,,1.67,3,1.5,,
강원,가톨릭관동대,자연,1.학생부종합,CKU종합전형,의료공학과,,1.5,3,1.75,,
강원,가톨릭관동대,자연,1.학생부종합,CKU종합전형,의예과,13.89,17.11,13.63,15,12.38,
강원,가톨릭관동대,자연,1.학생부종합,CKU종합전형,임상병리학과,,5,7.75,5.5,5.25,
