지역,대학,계열,전형유형,전형명,모집단위명,2018,2019,2020,2021,2022,경쟁률 추이
강원,강원대(도계),자연,1.학생부종합,농어촌학생전형(외),방사능학과,6,4,10,4,,
강원,강원대(도계),자연,1.학생부종합,농어촌학생전형(외),생약자원개발학과,2,2,1,2,,
강원,강원대(도계),자연,1.학생부종합,농어촌학생전형(외),소방방재학부,4.3,9.67,9.5,5.5,,
강원,강원대(도계),자연,1.학생부종합,농어촌학생전형(외),식품영양학과,3,6,8,2,,
강원,강원대(도계),자연,1.학생부종합,농어촌학생전형(외),안경공학과,3,5,1,3,,
강원,강원대(도계),자연,1.학생부종합,농어촌학생전형(외),응급구조학과,7,14,9,5,,
강원,강원대(도계),자연,1.학생부종합,농어촌학생전형(외),작업치료학과,3,11,11,6,,
강원,강원대(도계),자연,1.학생부종합,농어촌학생전형(외),치위생학과,5,8,6,3,,
강원,강원대(도계),자연,1.학생부종합,미래인재전형,간호학과,,13.75,10,8.5,24.67,
강원,강원대(도계),자연,1.학생부종합,미래인재전형,물리치료학과,,12,18,23,28.6,
강원,강원대(도계),자연,1.학생부종합,미래인재전형,방사능학과,,4.5,10.5,5,18.4,
강원,강원대(도계),자연,1.학생부종합,미래인재전형,생약자원개발학과,,5.5,3.5,1.33,2.5,
강원,강원대(도계),자연,1.학생부종합,미래인재전형,소방방재학부,,6.6,12.4,7.83,16.5,
강원,강원대(도계),자연,1.학생부종합,미래인재전형,식품영양학과,,6,8,5,7.33,
강원,강원대(도계),자연,1.학생부종합,미래인재전형,안경공학과,,3,3.67,2,2,
강원,강원대(도계),자연,1.학생부종합,미래인재전형,응급구조학과,,19,12.67,12.8,20.2,
강원,강원대(도계),자연,1.학생부종합,미래인재전형,작업치료학과,,7,4.33,8.6,9,
강원,강원대(도계),자연,1.학생부종합,미래인재전형,치위생학과,,6.67,11.33,4.8,7.8,
강원,강원대(도계),자연,1.학생부종합,저소득층학생전형(외),간호학과,10.5,13,11,4.5,,
강원,강원대(도계),자연,1.학생부종합,저소득층학생전형(외),물리치료학과,8,15,12,8,,
강원,강원대(도계),자연,1.학생부종합,저소득층학생전형(외),방사능학과,3,3,3,3,,
강원,강원대(도계),자연,1.학생부종합,저소득층학생전형(외),생약자원개발학과,2,3,3,1,,
강원,강원대(도계),자연,1.학생부종합,저소득층학생전형(외),소방방재학부,7,6,2,3.5,,
강원,강원대(도계),자연,1.학생부종합,저소득층학생전형(외),식품영양학과,2,4,2,3,,
강원,강원대(도계),자연,1.학생부종합,저소득층학생전형(외),응급구조학과,6,19,11,6,,
강원,강원대(도계),자연,1.학생부종합,저소득층학생전형(외),작업치료학과,2,9,3,2,,
강원,강원대(도계),자연,1.학생부종합,저소득층학생전형(외),치위생학과,3,4,3,3,,
강원,강원대(도계),자연,2.학생부교과,국가보훈대상자전형,간호학과,5,8,4,5,,
강원,강원대(도계),자연,2.학생부교과,국가보훈대상자전형,물리치료학과,3,8,3,7,,
강원,강원대(도계),자연,2.학생부교과,국가보훈대상자전형,응급구조학과,4,4,2,4,,
강원,강원대(도계),자연,2.학생부교과,사회배려자전형,간호학과,15.3,14.67,9.33,6.67,,
강원,강원대(도계),자연,2.학생부교과,사회배려자전형,물리치료학과,8.5,21.5,8.5,8,,
강원,강원대(도계),자연,2.학생부교과,사회배려자전형,방사능학과,6.5,5,6.5,6,,
강원,강원대(도계),자연,2.학생부교과,사회배려자전형,생약자원개발학과,3,5,2,2,,
강원,강원대(도계),자연,2.학생부교과,사회배려자전형,소방방재학부,7.3,5,3.67,12.33,,
강원,강원대(도계),자연,2.학생부교과,사회배려자전형,식품영양학과,5,9,3,4,,
강원,강원대(도계),자연,2.학생부교과,사회배려자전형,안경공학과,6,4,4,1,,
강원,강원대(도계),자연,2.학생부교과,사회배려자전형,응급구조학과,10,16,9.5,5.5,,
강원,강원대(도계),자연,2.학생부교과,사회배려자전형,작업치료학과,7.5,9.5,5,10,,
강원,강원대(도계),자연,2.학생부교과,사회배려자전형,치위생학과,8.5,12,6,4,,
강원,강원대(도계),자연,2.학생부교과,일반전형,간호학과,7.6,15.31,4.63,5.24,7,
강원,강원대(도계),자연,2.학생부교과,일반전형,물리치료학과,13.3,21.89,8,8.44,14.56,
강원,강원대(도계),자연,2.학생부교과,일반전형,방사능학과,12.5,9.5,6,8.1,10.7,
강원,강원대(도계),자연,2.학생부교과,일반전형,생약자원개발학과,5.3,9.4,3.56,2.56,5.43,
강원,강원대(도계),자연,2.학생부교과,일반전형,소방방재학부,7.9,8.48,4.93,6.93,5.77,
강원,강원대(도계),자연,2.학생부교과,일반전형,식품영양학과,5.9,11,3.83,4.55,7.11,
강원,강원대(도계),자연,2.학생부교과,일반전형,안경공학과,6.5,10.22,4.56,4.11,7,
강원,강원대(도계),자연,2.학생부교과,일반전형,응급구조학과,13.8,13.4,6.5,8.11,7.44,
강원,강원대(도계),자연,2.학생부교과,일반전형,자유전공학부(자연),,2.87,4.77,3.29,2.5,
강원,강원대(도계),자연,2.학생부교과,일반전형,작업치료학과,12.2,14.1,6.5,5.5,11.5,
강원,강원대(도계),자연,2.학생부교과,일반전형,치위생학과,9.2,13,6.7,3.7,17.8,
강원,강원대(도계),자연,2.학생부교과,지역인재전형,간호학과,5.8,3.69,6.15,7.6,6.2,
강원,강원대(도계),자연,2.학생부교과,지역인재전형,물리치료학과,6.7,4.33,12.83,6.8,8.4,
강원,강원대(도계),자연,2.학생부교과,지역인재전형,방사능학과,5.5,3.67,3.5,13.75,9.5,
강원,강원대(도계),자연,2.학생부교과,지역인재전형,생약자원개발학과,3.2,4,4.17,2.5,2,
강원,강원대(도계),자연,2.학생부교과,지역인재전형,소방방재학부,5.4,3.32,4.74,3.81,3.75,
강원,강원대(도계),자연,2.학생부교과,지역인재전형,식품영양학과,5.9,3.22,4.13,3.4,4.5,
강원,강원대(도계),자연,2.학생부교과,지역인재전형,안경공학과,5.8,3,1.67,3,5.4,
강원,강원대(도계),자연,2.학생부교과,지역인재전형,응급구조학과,4.7,3.67,5.17,4.25,5.5,
강원,강원대(도계),자연,2.학생부교과,지역인재전형,자유전공학부(자연),,2,2.63,3,2,
강원,강원대(도계),자연,2.학생부교과,지역인재전형,작업치료학과,7.8,4,6.17,3.8,7.8,
강원,강원대(도계),자연,2.학생부교과,지역인재전형,치위생학과,6.2,3.33,12.83,5.8,12,
강원,강원대(삼척),인문,1.학생부종합,농어촌학생전형(외),글로벌인재학부,2.3,1.67,1.67,1.33,,
강원,강원대(삼척),인문,1.학생부종합,미래인재전형,글로벌인재학부,,4,5,1.71,4.14,
강원,강원대(삼척),인문,1.학생부종합,저소득층학생전형(외),글로벌인재학부,2,2.67,1,1,,
강원,강원대(삼척),인문,2.학생부교과,사회배려자전형,글로벌인재학부,3.5,3.33,3,3.6,,
강원,강원대(삼척),인문,2.학생부교과,일반전형,글로벌인재학부,3.5,6.46,3.31,5.26,4.74,
강원,강원대(삼척),인문,2.학생부교과,지역인재전형,글로벌인재학부,3,2.52,3.95,2.52,2.41,
강원,강원대(삼척),자연,1.학생부종합,농어촌학생전형(외),AI소프트웨어학과,2,1.67,5,1.5,,
강원,강원대(삼척),자연,1.학생부종합,농어촌학생전형(외),건설융합학부,2,6,2.33,2.33,,
강원,강원대(삼척),자연,1.학생부종합,농어촌학생전형(외),기계시스템공학부,6,2.33,5.33,1.67,,
강원,강원대(삼척),자연,1.학생부종합,농어촌학생전형(외),신소재공학과,,1,1.5,3.5,,
강원,강원대(삼척),자연,1.학생부종합,농어촌학생전형(외),에너지공학부,2,2,1,1,,
강원,강원대(삼척),자연,1.학생부종합,농어촌학생전형(외),전기제어계측공학부,1,5.5,1,1,,
강원,강원대(삼척),자연,1.학생부종합,농어촌학생전형(외),전자정보통신공학부,4.5,3,2.5,1.5,,
강원,강원대(삼척),자연,1.학생부종합,농어촌학생전형(외),지구환경시스템공학과,2,3,1,1,,
강원,강원대(삼척),자연,1.학생부종합,미래인재전형,AI소프트웨어학과,,6.6,5.2,2.5,4.17,
강원,강원대(삼척),자연,1.학생부종합,미래인재전형,건설융합학부,,3.8,7.4,2.17,5,
강원,강원대(삼척),자연,1.학생부종합,미래인재전형,기계시스템공학부,,5.43,4.71,3.63,3.25,
강원,강원대(삼척),자연,1.학생부종합,미래인재전형,신소재공학과,,4,2.67,2.5,3,
강원,강원대(삼척),자연,1.학생부종합,미래인재전형,에너지공학부,,3.25,3.25,1.6,2.33,
강원,강원대(삼척),자연,1.학생부종합,미래인재전형,전기제어계측공학부,,6,2.75,2,3,
강원,강원대(삼척),자연,1.학생부종합,미래인재전형,전자정보통신공학부,,4.5,4.5,2.2,4,
강원,강원대(삼척),자연,1.학생부종합,미래인재전형,지구환경시스템공학과,,2.33,5.67,1.25,5,
강원,강원대(삼척),자연,1.학생부종합,저소득층학생전형(외),AI소프트웨어학과,3.3,2.33,1,1.5,,
강원,강원대(삼척),자연,1.학생부종합,저소득층학생전형(외),기계시스템공학부,3,2.5,3,1,,
강원,강원대(삼척),자연,1.학생부종합,저소득층학생전형(외),신소재공학과,,1.5,1,1.5,,
강원,강원대(삼척),자연,1.학생부종합,저소득층학생전형(외),에너지공학부,1,2,1,0.5,,
강원,강원대(삼척),자연,1.학생부종합,저소득층학생전형(외),전기제어계측공학부,2,3,1.5,2,,
강원,강원대(삼척),자연,1.학생부종합,저소득층학생전형(외),지구환경시스템공학과,3,1,1.5,0.5,,
강원,강원대(삼척),자연,2.학생부교과,국가보훈대상자전형,기계시스템공학부,,3,1,2,,
강원,강원대(삼척),자연,2.학생부교과,국가보훈대상자전형,신소재공학과,,1,1,1,,
강원,강원대(삼척),자연,2.학생부교과,국가보훈대상자전형,에너지공학부,,1,1,1,,
강원,강원대(삼척),자연,2.학생부교과,국가보훈대상자전형,전자정보통신공학부,2,1,2,3,,
강원,강원대(삼척),자연,2.학생부교과,사회배려자전형,AI소프트웨어학과,5.3,3.33,2.67,2.67,,
강원,강원대(삼척),자연,2.학생부교과,사회배려자전형,건설융합학부,3.6,2.5,5.2,1.8,,
강원,강원대(삼척),자연,2.학생부교과,사회배려자전형,기계시스템공학부,7.5,5.75,3.5,3,,
강원,강원대(삼척),자연,2.학생부교과,사회배려자전형,신소재공학과,2.3,2.75,2.5,1.25,,
강원,강원대(삼척),자연,2.학생부교과,사회배려자전형,에너지공학부,2.3,3,3,1.67,,
강원,강원대(삼척),자연,2.학생부교과,사회배려자전형,전기제어계측공학부,2.5,3.5,3,2,,
강원,강원대(삼척),자연,2.학생부교과,사회배려자전형,전자정보통신공학부,5.5,3.5,2.5,2.5,,
강원,강원대(삼척),자연,2.학생부교과,사회배려자전형,지구환경시스템공학과,3,2.5,5,2.5,,
강원,강원대(삼척),자연,2.학생부교과,일반전형,AI소프트웨어학과,5.5,7.39,4.08,3.29,5.65,
강원,강원대(삼척),자연,2.학생부교과,일반전형,건설융합학부,4.6,6.84,2.56,3.64,4.93,
강원,강원대(삼척),자연,2.학생부교과,일반전형,기계시스템공학부,8.6,7.97,3.34,2.53,4.81,
강원,강원대(삼척),자연,2.학생부교과,일반전형,신소재공학과,2.7,6.91,7.18,3,3.91,
강원,강원대(삼척),자연,2.학생부교과,일반전형,에너지공학부,2.9,6.95,3.95,3,3,
강원,강원대(삼척),자연,2.학생부교과,일반전형,전기제어계측공학부,3.4,6.39,2.73,4.86,3.96,
강원,강원대(삼척),자연,2.학생부교과,일반전형,전자정보통신공학부,4.2,6.47,3.58,3.73,3.83,
강원,강원대(삼척),자연,2.학생부교과,일반전형,지구환경시스템공학과,4.2,5.78,3.14,3.38,4.05,
강원,강원대(삼척),자연,2.학생부교과,지역인재전형,AI소프트웨어학과,3.3,2.26,3.55,3.16,3,
강원,강원대(삼척),자연,2.학생부교과,지역인재전형,건설융합학부,3.8,2.39,3.1,2.25,3.29,
강원,강원대(삼척),자연,2.학생부교과,지역인재전형,기계시스템공학부,6.2,1.97,3.13,2.09,1.91,
강원,강원대(삼척),자연,2.학생부교과,지역인재전형,신소재공학과,1.2,2.35,2.35,1.63,1.54,
강원,강원대(삼척),자연,2.학생부교과,지역인재전형,에너지공학부,1.3,2.63,2,2,,
강원,강원대(삼척),자연,2.학생부교과,지역인재전형,전기제어계측공학부,3.2,2.5,2.58,2.83,2.65,
강원,강원대(삼척),자연,2.학생부교과,지역인재전형,전자정보통신공학부,2.1,3.15,2.16,2.44,2.92,
강원,강원대(삼척),자연,2.학생부교과,지역인재전형,지구환경시스템공학과,1.9,2.31,1.67,1.79,1.5,
강원,연세대(미래),인문,1.학생부종합,강원인재전형,자율융합계열,3.25,2.6,1.5,3.33,3.24,
강원,연세대(미래),인문,1.학생부종합,기초생활(연세한마음)전형(외),디자인예술학부,4,5,7,4,,
강원,연세대(미래),인문,1.학생부종합,기초생활(연세한마음)전형(외),자율융합계열,5,2,6,3.33,,
강원,연세대(미래),인문,1.학생부종합,농어촌학생전형(외),자율융합계열,3.5,2.5,2,2.25,,
강원,연세대(미래),인문,1.학생부종합,특성화고교졸업자전형(외),자율융합계열,4.5,3,3.5,4.25,,
강원,연세대(미래),인문,1.학생부종합,특수교육대상자전형(외),전 모집단위,2.8,1.4,3.6,2,,
강원,연세대(미래),인문,1.학생부종합,활동우수자전형,글로벌엘리트학부,3,1.2,1.4,3,3,
강원,연세대(미래),인문,1.학생부종합,활동우수자전형,동아시아국제학부,2.78,2.31,1.98,3.83,2.83,
강원,연세대(미래),자연,1.학생부종합,SW창의인재전형,디지털헬스케어학부,,,,2.2,3.2,
강원,연세대(미래),자연,1.학생부종합,SW창의인재전형,소프트웨어학부,,,,3.4,4.8,
강원,연세대(미래),자연,1.학생부종합,강원인재전형,간호학과,4,6.5,3,5.5,5.13,
강원,연세대(미래),자연,1.학생부종합,강원인재전형,디지털헬스케어학부,,,,2.5,2,
강원,연세대(미래),자연,1.학생부종합,강원인재전형,물리치료학과,3.33,3,2,7,4,
강원,연세대(미래),자연,1.학생부종합,강원인재전형,방사선학과,3.5,2,2,3,4.33,
강원,연세대(미래),자연,1.학생부종합,강원인재전형,소프트웨어학부,,,,2.67,3.33,
강원,연세대(미래),자연,1.학생부종합,강원인재전형,의예과,8.64,7.71,9.57,10.71,10.79,
강원,연세대(미래),자연,1.학생부종합,강원인재전형,임상병리학과,3.33,1.67,3.67,4,4.67,
강원,연세대(미래),자연,1.학생부종합,강원인재전형,작업치료학과,2,1.5,1,5,2.67,
강원,연세대(미래),자연,1.학생부종합,기초생활(연세한마음)전형(외),간호학과,7,7,5,9,,
강원,연세대(미래),자연,1.학생부종합,기초생활(연세한마음)전형(외),디지털헬스케어학부,,,,3.5,,
강원,연세대(미래),자연,1.학생부종합,기초생활(연세한마음)전형(외),물리치료학과,3,8,5,3,,
강원,연세대(미래),자연,1.학생부종합,기초생활(연세한마음)전형(외),소프트웨어학부,,,,3,,
강원,연세대(미래),자연,1.학생부종합,기초생활(연세한마음)전형(외),의예과,10,12,8,20,,
강원,연세대(미래),자연,1.학생부종합,기초생활(연세한마음)전형(외),임상병리학과,3.5,3.5,2.5,2.5,,
강원,연세대(미래),자연,1.학생부종합,기초생활(연세한마음)전형(외),작업치료학과,6,2,2,2,,
강원,연세대(미래),자연,1.학생부종합,기회균형전형,간호학과,9.5,6.33,4.33,15,,
강원,연세대(미래),자연,1.학생부종합,기회균형전형,디지털헬스케어학부,,,,4.5,,
강원,연세대(미래),자연,1.학생부종합,기회균형전형,물리치료학과,6,15,9,13.5,,
강원,연세대(미래),자연,1.학생부종합,기회균형전형,방사선학과,6,4,2.5,7.5,,
강원,연세대(미래),자연,1.학생부종합,기회균형전형,소프트웨어학부,,,,4.67,,
강원,연세대(미래),자연,1.학생부종합,기회균형전형,의예과,23.33,16.67,26.33,20,,
강원,연세대(미래),자연,1.학생부종합,기회균형전형,임상병리학과,6.5,3.5,3,7,,
강원,연세대(미래),자연,1.학생부종합,기회균형전형,작업치료학과,4,6,1.5,7,,
강원,연세대(미래),자연,1.학생부종합,농어촌학생전형(외),간호학과,9,5,5,6.5,,
강원,연세대(미래),자연,1.학생부종합,농어촌학생전형(외),디지털헬스케어학부,,,,3.5,,
강원,연세대(미래),자연,1.학생부종합,농어촌학생전형(외),물리치료학과,6,4,5,5.5,,
강원,연세대(미래),자연,1.학생부종합,농어촌학생전형(외),소프트웨어학부,,,,3,,
강원,연세대(미래),자연,1.학생부종합,농어촌학생전형(외),의예과,7,6,9,14,,
강원,연세대(미래),자연,1.학생부종합,농어촌학생전형(외),임상병리학과,4,6.5,2.5,5.5,,
강원,연세대(미래),자연,1.학생부종합,농어촌학생전형(외),작업치료학과,5,3,4,2,,
강원,연세대(미래),자연,1.학생부종합,학교생활우수자전형,간호학과,14.8,6.4,3.4,9.09,14.32,
강원,연세대(미래),자연,1.학생부종합,학교생활우수자전형,데이터사이언스학과,,,,3,4.25,
강원,연세대(미래),자연,1.학생부종합,학교생활우수자전형,디지털헬스케어학부,,,,4.38,5,
강원,연세대(미래),자연,1.학생부종합,학교생활우수자전형,물리치료학과,11,5.4,4.5,13.86,14,
강원,연세대(미래),자연,1.학생부종합,학교생활우수자전형,방사선학과,10,3.71,3.14,5.71,11.4,
강원,연세대(미래),자연,1.학생부종합,학교생활우수자전형,소프트웨어학부,,,,4.91,4.67,
강원,연세대(미래),자연,1.학생부종합,학교생활우수자전형,의예과,13.18,9.47,11.83,14.37,9.67,
강원,연세대(미래),자연,1.학생부종합,학교생활우수자전형,임상병리학과,8.75,3.44,3.7,8.56,12.22,
강원,연세대(미래),자연,1.학생부종합,학교생활우수자전형,작업치료학과,6.5,3.75,2,4.71,6.5,
강원,연세대(미래),자연,1.학생부종합,학교생활우수자전형,치위생학과,4.6,2.6,2.8,5.38,10.43,
강원,연세대(미래),자연,2.학생부교과,교과우수자(창의인재)전형,간호학과,8.8,6.8,8.6,11.6,12.4,
강원,연세대(미래),자연,2.학생부교과,교과우수자(창의인재)전형,데이터사이언스학과,,,,4.17,4.75,
강원,연세대(미래),자연,2.학생부교과,교과우수자(창의인재)전형,디지털헬스케어학부,,,,4.5,5.17,
강원,연세대(미래),자연,2.학생부교과,교과우수자(창의인재)전형,물리치료학과,5.6,7.8,10.8,14.2,11.17,
강원,연세대(미래),자연,2.학생부교과,교과우수자(창의인재)전형,방사선학과,6.29,4.57,4,7.4,9,
강원,연세대(미래),자연,2.학생부교과,교과우수자(창의인재)전형,소프트웨어학부,,,,3.06,6.19,
강원,연세대(미래),자연,2.학생부교과,교과우수자(창의인재)전형,의예과,9.88,9.47,11.67,20.14,7.33,
강원,연세대(미래),자연,2.학생부교과,교과우수자(창의인재)전형,임상병리학과,7.38,5.71,4.25,7.5,7.44,
강원,연세대(미래),자연,2.학생부교과,교과우수자(창의인재)전형,작업치료학과,6.75,4,4.5,4.6,5.67,
강원,연세대(미래),자연,2.학생부교과,교과우수자(창의인재)전형,치위생학과,7.2,3.8,7.2,7.8,10,
강원,연세대(미래),자연,3.논술,논술우수자(창의인재)전형,간호학과,58.13,31.38,21,28,24,
강원,연세대(미래),자연,3.논술,논술우수자(창의인재)전형,데이터사이언스학과,,,,5.11,3.6,
강원,연세대(미래),자연,3.논술,논술우수자(창의인재)전형,디지털헬스케어학부,,,,4.27,3.13,
강원,연세대(미래),자연,3.논술,논술우수자(창의인재)전형,물리치료학과,20,13.14,14.33,11.63,10.57,
강원,연세대(미래),자연,3.논술,논술우수자(창의인재)전형,방사선학과,11.67,7.22,6.78,5,5.86,
강원,연세대(미래),자연,3.논술,논술우수자(창의인재)전형,소프트웨어학부,,,,7.27,4.08,
강원,연세대(미래),자연,3.논술,논술우수자(창의인재)전형,의예과,193.79,157.77,266.2,316.27,329,
강원,연세대(미래),자연,3.논술,논술우수자(창의인재)전형,임상병리학과,13.58,8.42,6.55,7.33,10.29,
강원,연세대(미래),자연,3.논술,논술우수자(창의인재)전형,작업치료학과,8.67,5.83,4.4,4.71,3.17,
강원,연세대(미래),자연,3.논술,논술우수자(창의인재)전형,치위생학과,11,7.67,4.83,6.67,3.83,
강원,연세대(미래),통합,1.학생부종합,기회균형전형,자율융합계열,5,4.67,2.67,5.33,,
강원,연세대(미래),통합,1.학생부종합,학교생활우수자전형,자율융합계열,6.62,2.92,3.82,4.42,4.41,
강원,연세대(미래),통합,2.학생부교과,교과우수자(미래인재)전형,자율융합계열,4.05,2.9,4.45,4.75,4.86,
강원,연세대(미래),통합,2.학생부교과,교과우수자(창의인재)전형,자율융합계열,3.51,3.21,3.41,3.94,,
강원,연세대(미래),통합,3.논술,논술우수자(미래인재)전형,자율융합계열,8.88,6.6,6.62,9.61,6.9,
강원,연세대(미래),통합,3.논술,논술우수자(창의인재)전형,자율융합계열,9.16,6.93,6.95,8.67,2.98,
강원,춘천교대,통합,1.학생부종합,강원교육인재전형,초등교육과,3.36,3.61,3.57,2.58,4.07,
강원,춘천교대,통합,1.학생부종합,교직적인성인재전형,초등교육과,16.22,12.49,14.6,8.75,10.2,
강원,춘천교대,통합,1.학생부종합,국가보훈대상자전형,초등교육과,6.5,3.25,4,5,,
강원,춘천교대,통합,1.학생부종합,기초생활및차상위전형(외),초등교육과,8.56,4.33,4.09,5.22,,
강원,춘천교대,통합,1.학생부종합,농어촌학생전형(외),초등교육과,15.5,6.13,7,5.63,,
강원,춘천교대,통합,1.학생부종합,다문화가정의자녀전형,초등교육과,8.5,2.5,7.5,4,,
강원,춘천교대,통합,1.학생부종합,특수교육대상자전형(외),초등교육과,10.2,2.8,3.5,2.88,,
경기,가천대,인문,1.학생부종합,가천바람개비전형,경영학부,13,12.45,12.17,11.4,16.81,
경기,가천대,인문,1.학생부종합,가천바람개비전형,경제학과,7.3,11.4,10.5,9,12.27,
경기,가천대,인문,1.학생부종합,가천바람개비전형,경찰행정학과,27.5,22.2,19.7,14.7,16,
경기,가천대,인문,1.학생부종합,가천바람개비전형,관광경영학과,60,34.13,23,20.38,24.13,
경기,가천대,인문,1.학생부종합,가천바람개비전형,동양어문학과,13.7,18.67,12.25,15.31,18,
경기,가천대,인문,1.학생부종합,가천바람개비전형,미디어커뮤니케이션학과,38.4,33.18,31.45,23.45,37.33,
경기,가천대,인문,1.학생부종합,가천바람개비전형,법학과,13,15.54,13.15,11.93,15.67,
경기,가천대,인문,1.학생부종합,가천바람개비전형,사회복지학과,39.6,25.7,20.6,22,31.9,
경기,가천대,인문,1.학생부종합,가천바람개비전형,심리학과,,,39,15.1,24.8,
경기,가천대,인문,1.학생부종합,가천바람개비전형,영미어문학과,29.2,11.11,14.56,13.57,19.71,
경기,가천대,인문,1.학생부종합,가천바람개비전형,유럽어문학과,10.8,15,11.4,9.6,,
경기,가천대,인문,1.학생부종합,가천바람개비전형,유아교육학과,27,17.45,20.36,18.45,30.9,
경기,가천대,인문,1.학생부종합,가천바람개비전형,응용통계학과,13.2,16,10,9.4,6.86,
경기,가천대,인문,1.학생부종합,가천바람개비전형,의료경영학과,8.5,6.67,11.67,11.67,7.14,
경기,가천대,인문,1.학생부종합,가천바람개비전형,패션디자인전공,18.8,26.17,27.83,26.33,35.67,
경기,가천대,인문,1.학생부종합,가천바람개비전형,한국어문학과,9.7,11.17,12.3,11.88,18.29,
경기,가천대,인문,1.학생부종합,가천바람개비전형,행정학과,16.6,12,14.38,14.38,20,
경기,가천대,인문,1.학생부종합,교육기회균형,경영학부,10,12,15.5,8.5,,
경기,가천대,인문,1.학생부종합,교육기회균형,경제학과,7.5,8,8,6,,
경기,가천대,인문,1.학생부종합,교육기회균형,관광경영학과,15.7,9.67,8,14,,
경기,가천대,인문,1.학생부종합,교육기회균형,동양어문학과,18,8,18,14,,
경기,가천대,인문,1.학생부종합,교육기회균형,미디어커뮤니케이션학과,14.5,28.5,15.5,15,,
경기,가천대,인문,1.학생부종합,교육기회균형,법학과,7,9,10,7.5,,
경기,가천대,인문,1.학생부종합,교육기회균형,사회복지학과,22,12.67,19.33,17,,
경기,가천대,인문,1.학생부종합,교육기회균형,심리학과,,,16,8.5,,
경기,가천대,인문,1.학생부종합,교육기회균형,영미어문학과,6,12,7,5,,
경기,가천대,인문,1.학생부종합,교육기회균형,의료경영학과,,,,5,,
경기,가천대,인문,1.학생부종합,교육기회균형,패션디자인전공,,,13,27,,
경기,가천대,인문,1.학생부종합,교육기회균형,한국어문학과,8,9,7.5,8,,
경기,가천대,인문,1.학생부종합,교육기회균형,행정학과,8,10,11,5,,
경기,가천대,인문,1.학생부종합,농어촌(종합)전형,경영학부,11.5,8.5,15.5,6,,
경기,가천대,인문,1.학생부종합,농어촌(종합)전형,관광경영학과,15,12.5,6.5,5,,
경기,가천대,인문,1.학생부종합,농어촌(종합)전형,동양어문학과,6,9,11,6,,
경기,가천대,인문,1.학생부종합,농어촌(종합)전형,미디어커뮤니케이션학과,18.5,14.5,10.5,9.5,,
경기,가천대,인문,1.학생부종합,농어촌(종합)전형,법학과,7,8,9,11.5,,
경기,가천대,인문,1.학생부종합,농어촌(종합)전형,사회복지학과,5.7,11.67,9.5,11.5,,
경기,가천대,인문,1.학생부종합,농어촌(종합)전형,심리학과,,,15.5,6,,
경기,가천대,인문,1.학생부종합,농어촌(종합)전형,유아교육학과,16.5,26,18,13,,
경기,가천대,인문,1.학생부종합,농어촌(종합)전형,패션디자인전공,,,,7,,
경기,가천대,인문,1.학생부종합,농어촌(종합)전형,한국어문학과,6,8.5,6.5,6.5,,
경기,가천대,인문,1.학생부종합,농어촌(종합)전형,행정학과,5,6.5,11.5,4.5,,
경기,가천대,인문,1.학생부종합,사회기여자전형,경영학부,12.5,15.75,13,14.75,,
경기,가천대,인문,1.학생부종합,사회기여자전형,경제학과,6.7,6.67,10,6.33,,
경기,가천대,인문,1.학생부종합,사회기여자전형,관광경영학과,28,15.5,14.5,26,,
경기,가천대,인문,1.학생부종합,사회기여자전형,동양어문학과,9.3,11,9.33,12,,
경기,가천대,인문,1.학생부종합,사회기여자전형,미디어커뮤니케이션학과,21.5,17.5,25.5,38.5,,
경기,가천대,인문,1.학생부종합,사회기여자전형,법학과,22.3,9.67,12,16,,
경기,가천대,인문,1.학생부종합,사회기여자전형,사회복지학과,21,13,20.33,13,,
경기,가천대,인문,1.학생부종합,사회기여자전형,영미어문학과,11,10,13.5,12,,
경기,가천대,인문,1.학생부종합,사회기여자전형,유아교육학과,12,15.5,16,9.75,,
경기,가천대,인문,1.학생부종합,사회기여자전형,의료경영학과,7.5,12.5,16,7.5,,
경기,가천대,인문,1.학생부종합,사회기여자전형,패션디자인전공,12.5,16,20,13,,
경기,가천대,인문,1.학생부종합,사회기여자전형,한국어문학과,15.5,10,13,7,,
경기,가천대,인문,1.학생부종합,사회기여자전형,행정학과,10,11.5,12,14.5,,
경기,가천대,인문,1.학생부종합,특성화고교(종합),경영학부,,28.75,27,31.33,,
경기,가천대,인문,1.학생부종합,특성화고교(종합),경제학과,,12,14.5,11,,
경기,가천대,인문,1.학생부종합,특성화고교(종합),관광경영학과,,24,19.33,18,,
경기,가천대,인문,1.학생부종합,특성화고교(종합),미디어커뮤니케이션학과,,25.33,33,19.67,,
경기,가천대,인문,1.학생부종합,특성화고교(종합),사회복지학과,,11.67,11.33,9,,
경기,가천대,인문,1.학생부종합,특성화고교(종합),의료경영학과,,12,8,7,,
경기,가천대,인문,1.학생부종합,특성화고교(종합),패션디자인전공,,,14,13.67,,
경기,가천대,인문,1.학생부종합,특성화고교(종합),행정학과,,8,8,9.5,,
경기,가천대,인문,2.학생부교과,지역균형전형,경영학부,19.1,14.62,8.69,8.95,11.6,
경기,가천대,인문,2.학생부교과,지역균형전형,경제학과,11.9,10.3,8,6.5,7.25,
경기,가천대,인문,2.학생부교과,지역균형전형,경찰행정학과,24,33.67,11.67,12.67,13.33,
경기,가천대,인문,2.학생부교과,지역균형전형,관광경영학과,29.2,18.8,11,13.2,16,
