지역,대학,계열,전형유형,세부전형명,모집단위명,입결등급 기준,2019,2020,2021,2022,수시등급 트렌드,평균등급,2019등급,2020등급,2021등급,2022등급,평균
강원,강원대,인문,2.학생부교과,지역인재전형,한문교육과,최초합격자평균,3.7,3.5,2.91,4.52,,3.66,3등급,3등급,2등급,4등급,3등급
강원,강원대,인문,2.학생부교과,지역인재전형,행정심리학부,최초합격자평균,2.3,2.2,2.2,2.9,,2.4,2등급,2등급,2등급,2등급,2등급
강원,강원대,인문,1.학생부종합,미래인재전형,간호학과(인문),1단계합격자평균,,2.7,3.01,2.62,,2.78,,2등급,3등급,2등급,2등급
강원,강원대,인문,1.학생부종합,미래인재전형,경영회계학부,1단계합격자평균,3.4,3.4,3.47,3.47,,3.44,3등급,3등급,3등급,3등급,3등급
강원,강원대,인문,1.학생부종합,미래인재전형,경제정보통계학부,1단계합격자평균,3.6,3.6,3.59,3.79,,3.65,3등급,3등급,3등급,3등급,3등급
강원,강원대,인문,1.학생부종합,미래인재전형,관광경영학과,1단계합격자평균,3.6,3.5,3.62,3.7,,3.61,3등급,3등급,3등급,3등급,3등급
강원,강원대,인문,1.학생부종합,미래인재전형,교육학과,1단계합격자평균,2.4,2.3,2.52,2.58,,2.45,2등급,2등급,2등급,2등급,2등급
강원,강원대,인문,1.학생부종합,미래인재전형,국어교육과,1단계합격자평균,2.3,2.4,2.55,2.9,,2.54,2등급,2등급,2등급,2등급,2등급
강원,강원대,인문,1.학생부종합,미래인재전형,국제무역학과,1단계합격자평균,3.7,3.6,3.77,3.69,,3.69,3등급,3등급,3등급,3등급,3등급
강원,강원대,인문,1.학생부종합,미래인재전형,문화인류학과,1단계합격자평균,4.8,3.7,5.2,3.84,,4.39,4등급,3등급,5등급,3등급,4등급
강원,강원대,인문,1.학생부종합,미래인재전형,미디어커뮤니케이션학과,1단계합격자평균,2.8,3,3.43,3.52,,3.19,2등급,3등급,3등급,3등급,3등급
강원,강원대,인문,1.학생부종합,미래인재전형,사회학과,1단계합격자평균,3.8,3.5,3.38,3.5,,3.55,3등급,3등급,3등급,3등급,3등급
강원,강원대,인문,1.학생부종합,미래인재전형,영상문화학과,1단계합격자평균,3.4,3.4,3.37,3.64,,3.45,3등급,3등급,3등급,3등급,3등급
강원,강원대,인문,1.학생부종합,미래인재전형,영어교육과,1단계합격자평균,2.7,2.5,2.9,3.11,,2.8,2등급,2등급,2등급,3등급,2등급
강원,강원대,인문,1.학생부종합,미래인재전형,윤리교육과,1단계합격자평균,2.7,2.8,2.67,2.78,,2.74,2등급,2등급,2등급,2등급,2등급
강원,강원대,인문,1.학생부종합,미래인재전형,인문학부,1단계합격자평균,3.4,3.5,3.47,3.72,,3.52,3등급,3등급,3등급,3등급,3등급
강원,강원대,인문,1.학생부종합,미래인재전형,일반사회교육과,1단계합격자평균,2.7,2.5,2.34,2.86,,2.6,2등급,2등급,2등급,2등급,2등급
강원,강원대,인문,1.학생부종합,미래인재전형,정치외교학과,1단계합격자평균,4.1,3.5,3.84,4.05,,3.87,4등급,3등급,3등급,4등급,3등급
강원,강원대,인문,1.학생부종합,미래인재전형,한문교육과,1단계합격자평균,3.4,3.6,3.48,3.66,,3.54,3등급,3등급,3등급,3등급,3등급
강원,강원대,인문,1.학생부종합,미래인재전형,행정심리학부,1단계합격자평균,3,3,3.1,3.33,,3.11,3등급,3등급,3등급,3등급,3등급
강원,강원대,자연,2.학생부교과,일반전형,가정교육과,최초합격자평균,3.3,2.7,3.2,4.23,,3.36,3등급,2등급,3등급,4등급,3등급
강원,강원대,자연,2.학생부교과,일반전형,간호학과(자연),최초합격자평균,2.2,2.5,2.32,2.49,,2.38,2등급,2등급,2등급,2등급,2등급
강원,강원대,자연,2.학생부교과,일반전형,건축토목환경공학부,최초합격자평균,3.6,3.5,3.52,4.37,,3.75,3등급,3등급,3등급,4등급,3등급
강원,강원대,자연,2.학생부교과,일반전형,건축학과(5년제),최초합격자평균,2.9,2.8,2.9,3.04,,2.91,2등급,2등급,2등급,3등급,2등급
강원,강원대,자연,2.학생부교과,일반전형,과학교육학부,최초합격자평균,2.1,2.5,2.62,2.87,,2.52,2등급,2등급,2등급,2등급,2등급
강원,강원대,자연,2.학생부교과,일반전형,기계의용메카트로닉스재료공학부,최초합격자평균,3,2.9,3.24,4.35,,3.37,3등급,2등급,3등급,4등급,3등급
강원,강원대,자연,2.학생부교과,일반전형,동물산업융합학과,최초합격자평균,3.5,3.7,4.04,5.24,,4.12,3등급,3등급,4등급,5등급,4등급
강원,강원대,자연,2.학생부교과,일반전형,동물응용과학과,최초합격자평균,3.5,3.6,3.88,4.66,,3.91,3등급,3등급,3등급,4등급,3등급
강원,강원대,자연,2.학생부교과,일반전형,동물자원과학과,최초합격자평균,2.9,3.2,3.27,4.52,,3.47,2등급,3등급,3등급,4등급,3등급
강원,강원대,자연,2.학생부교과,일반전형,목재종이과학부,최초합격자평균,3.8,3.8,4.15,4.92,,4.17,3등급,3등급,4등급,4등급,4등급
강원,강원대,자연,2.학생부교과,일반전형,물리학과,최초합격자평균,3.5,3.3,3.57,4.74,,3.78,3등급,3등급,3등급,4등급,3등급
강원,강원대,자연,2.학생부교과,일반전형,바이오산업공학부,최초합격자평균,3.2,3,3.26,4.08,,3.39,3등급,3등급,3등급,4등급,3등급
강원,강원대,자연,2.학생부교과,일반전형,분자생명과학과,최초합격자평균,3.3,3.1,3.23,3.4,,3.26,3등급,3등급,3등급,3등급,3등급
강원,강원대,자연,2.학생부교과,일반전형,산림과학부,최초합격자평균,2.8,2.9,3.27,3.91,,3.22,2등급,2등급,3등급,3등급,3등급
강원,강원대,자연,2.학생부교과,일반전형,생명건강공학과,최초합격자평균,3.5,3.3,3.35,3.72,,3.47,3등급,3등급,3등급,3등급,3등급
강원,강원대,자연,2.학생부교과,일반전형,생명과학과,최초합격자평균,2.7,2.5,2.92,3.13,,2.81,2등급,2등급,2등급,3등급,2등급
강원,강원대,자연,2.학생부교과,일반전형,생물의소재공학과,최초합격자평균,3.7,3.5,3.48,4.03,,3.68,3등급,3등급,3등급,4등급,3등급
강원,강원대,자연,2.학생부교과,일반전형,생물자원과학부,최초합격자평균,3.4,3.3,3.48,4.44,,3.66,3등급,3등급,3등급,4등급,3등급
강원,강원대,자연,2.학생부교과,일반전형,생태조경디자인학과,최초합격자평균,3.2,3.1,3.65,3.73,,3.42,3등급,3등급,3등급,3등급,3등급
강원,강원대,자연,2.학생부교과,일반전형,수의예과,최초합격자평균,1.2,1.2,1.17,1.46,,1.26,1등급,1등급,1등급,1등급,1등급
강원,강원대,자연,2.학생부교과,일반전형,수학과,최초합격자평균,2.7,2.6,2.86,4.79,,3.24,2등급,2등급,2등급,4등급,3등급
강원,강원대,자연,2.학생부교과,일반전형,수학교육과,최초합격자평균,2,2.3,2.44,2.84,,2.4,2등급,2등급,2등급,2등급,2등급
강원,강원대,자연,2.학생부교과,일반전형,에너지자원산업공학부,최초합격자평균,3.3,3.5,3.65,4.3,,3.69,3등급,3등급,3등급,4등급,3등급
강원,강원대,자연,2.학생부교과,일반전형,원예농업자원경제학부,최초합격자평균,3.4,3.4,3.66,3.92,,3.6,3등급,3등급,3등급,3등급,3등급
강원,강원대,자연,2.학생부교과,일반전형,의생명융합학부,최초합격자평균,2.9,2.8,2.86,3.47,,3.01,2등급,2등급,2등급,3등급,3등급
강원,강원대,자연,2.학생부교과,일반전형,자유전공학부(자연계열),최초합격자평균,,3.5,3.32,4.28,,3.7,,3등급,3등급,4등급,3등급
강원,강원대,자연,2.학생부교과,일반전형,전기전자공학과,최초합격자평균,3,2.8,2.96,3.6,,3.09,3등급,2등급,2등급,3등급,3등급
강원,강원대,자연,2.학생부교과,일반전형,전자공학과,최초합격자평균,3.3,3.1,3.09,4.15,,3.41,3등급,3등급,3등급,4등급,3등급
강원,강원대,자연,2.학생부교과,일반전형,지역건설공학과,최초합격자평균,4.2,4,4.02,4.43,,4.16,4등급,4등급,4등급,4등급,4등급
강원,강원대,자연,2.학생부교과,일반전형,지질지구물리학부,최초합격자평균,3.3,3.6,4.04,4.8,,3.94,3등급,3등급,4등급,4등급,3등급
강원,강원대,자연,2.학생부교과,일반전형,컴퓨터공학과,최초합격자평균,3.1,2.8,2.86,3.53,,3.07,3등급,2등급,2등급,3등급,3등급
강원,강원대,자연,2.학생부교과,일반전형,화공생물공학부,최초합격자평균,2.5,2.5,2.71,2.83,,2.64,2등급,2등급,2등급,2등급,2등급
강원,강원대,자연,2.학생부교과,일반전형,화학생화학부,최초합격자평균,2.6,2.8,3.05,4.28,,3.18,2등급,2등급,3등급,4등급,3등급
강원,강원대,자연,2.학생부교과,일반전형,환경융합학부,최초합격자평균,4,3.4,3.54,4.1,,3.76,4등급,3등급,3등급,4등급,3등급
강원,강원대,자연,2.학생부교과,지역인재전형,간호학과(자연),최초합격자평균,2.5,2.2,2.24,2.62,,2.39,2등급,2등급,2등급,2등급,2등급
강원,강원대,자연,2.학생부교과,지역인재전형,건축토목환경공학부,최초합격자평균,3.8,3.6,3.58,4.48,,3.87,3등급,3등급,3등급,4등급,3등급
강원,강원대,자연,2.학생부교과,지역인재전형,건축학과(5년제),최초합격자평균,2.8,2.6,2.72,3.38,,2.88,2등급,2등급,2등급,3등급,2등급
강원,강원대,자연,2.학생부교과,지역인재전형,과학교육학부,최초합격자평균,2.3,2.3,2.45,2.85,,2.48,2등급,2등급,2등급,2등급,2등급
강원,강원대,자연,2.학생부교과,지역인재전형,기계의용메카트로닉스재료공학부,최초합격자평균,3.3,3.1,3.14,4.01,,3.39,3등급,3등급,3등급,4등급,3등급
강원,강원대,자연,2.학생부교과,지역인재전형,동물산업융합학과,최초합격자평균,4.7,4.4,5.11,5.5,,4.93,4등급,4등급,5등급,5등급,4등급
